Vowel,F1_gm_mean,F1_gm_var,F2_gm_mean,F2_gm_var,F3_gm_mean,F3_gm_var,height_gm_mean,height_gm_var,backness_gm_mean,backness_gm_var,F1F2_cov,F1F3_cov,F2F3_cov,heightbackness_cov,synthtalkerF0_gm
ii1,367.530931929836,2212.46217064654,2132.62113834804,57564.9090762589,3179.78349743843,154994.155089981,0.724668083590777,0.0146093010926018,1.76058179673959,0.0388207242716247,-3663.75271037178,-5872.54367726615,49301.1181673431,-0.0192826051075691,196.274738829684
ih1,379.670959839889,1549.82186753155,2555.37723266153,86937.9831722158,3096.02433973382,31696.8162808526,0.760111787125525,0.013112619030185,1.90413165043926,0.0274002598232221,811.306454571197,751.081406800754,26255.089192091,-0.00999633660445412,196.274738829684
yy1,355.867215534263,1542.81291879612,2047.42058691131,43263.3839206444,3273.35598910963,21524.5302214278,0.694327628105982,0.0125350510828767,1.75142373184041,0.0287875736872059,-1967.80228905418,988.726305107814,-4176.89124623919,-0.0143050335465545,196.274738829684
yh1,384.891685392982,1489.9472221374,2380.37827865863,25433.8819411085,2798.84464775465,27753.5590960541,0.774212356240653,0.0115979827330749,1.82490604982452,0.0167394623972018,-805.188458902443,74.0312224126308,20108.4868241203,-0.0105960759138451,196.274738829684
uu1,386.576685127496,1223.02385214983,1788.21694455743,11500.945533429,2643.97480039301,34352.7754840573,0.779510035356035,0.00874538396823424,1.53407355510149,0.0111220184723752,391.594788120106,1007.71874622191,9258.92370668051,-0.00675522298923606,196.274738829684
uh1,419.534243770381,1670.86412929588,1303.71958808255,14062.0539789539,2786.08953468183,38100.2891589292,0.860616910128113,0.0132813716015191,1.13485176784478,0.0160409938277027,803.893410547668,1118.80716593201,3670.56066773559,-0.00867637781872414,196.274738829684
ee1,414.104904793678,1742.71844207261,2468.8217373701,85168.2604907028,3075.93767789165,34763.3142281689,0.847376949518102,0.00934176028612269,1.78233803486189,0.0345275420425188,-3099.93523867795,-2501.63627553642,35670.9027455012,-0.0118791183708059,196.274738829684
eh1,625.23313870679,5954.06172847743,1975.89903159535,30596.1325192575,2753.81613779506,68149.9441333835,1.2568580926055,0.0171375964364974,1.15419418954847,0.0223924022584886,1113.41867595978,434.008902377576,20166.5419316299,-0.0146047370130219,196.274738829684
ae1,794.378277660091,12742.9690721299,1794.66580880021,18317.9517651547,2760.26211304092,73927.9187026146,1.49192402331265,0.0281830763050895,0.824496327396659,0.036033497679071,-2180.98369074384,2723.46252624698,4654.2791970836,-0.0288774159205149,196.274738829684
{:,862.201558624392,13696.2688040118,1648.2788593831,6855.32851458208,2739.73351880652,94023.5172429267,1.57370095956223,0.0285540192179523,0.658857298434163,0.0278629930246043,2300.94544997867,3329.6969467729,200.270129165989,-0.0262815790311465,196.274738829684
{,804.157141485072,9394.42545121115,1763.074024619,21618.4525356385,2788.49010685248,82147.3623659074,1.50825561286651,0.0162040302821229,0.789549986458305,0.0217924543711582,831.155001784243,249.472548979817,14480.9521934172,-0.0142018406724503,196.274738829684
oe1,636.63840808186,6842.59699280014,1523.60074422019,10732.5111420786,2674.9410585537,26408.6779183903,1.27255890462381,0.021701639615307,0.879762354918034,0.0247871107173142,60.9470356879418,4068.98028323885,3349.080822927,-0.0209073144754762,196.274738829684
oeh1,571.593034104445,4391.13453414777,1662.72316464879,14431.6304910928,2696.49718358502,26603.2354988605,1.16832923766725,0.0159211789597117,1.07201195302021,0.0147840346998273,1957.6332466295,2935.53753137554,1575.09585115085,-0.0124716023200256,196.274738829684
9:,616.687289384562,6746.20336124002,1292.7324950282,12799.048866586,2738.19378062239,28315.9883928688,1.24218955785996,0.0193180396898295,0.745818060696963,0.0159066219905145,4528.81673712824,-558.146570259595,-5423.1994416985,-0.0127023472811049,196.274738829684
9,538.401936964272,3230.89218381101,1389.09465935923,24051.8335150536,2785.4052557453,32925.8881581398,1.10862953665145,0.0127691469748331,0.947485929356178,0.0151370332059386,3109.66964670861,1094.02723838055,-4014.67294251915,-0.00640459767657448,196.274738829684
aa1,649.623987492926,8860.25053850929,1033.23069034481,13291.039912219,2868.26499060412,41415.4810398234,1.29059010819694,0.0247502589237124,0.470304965931353,0.0215120730877164,5776.02525828347,4985.01638530668,-140.904525355448,-0.0170320388235666,196.274738829684
ah1,803.338292879286,10961.5348234523,1364.55673698985,10367.8141274858,2835.0151093161,82989.3371329701,1.50584551122521,0.0205031711861909,0.536386097883675,0.0200969274950413,2440.9374069673,-259.539480406465,-2396.8424839309,-0.0175476065430393,196.274738829684
oa1,436.055229491132,2208.03925376319,786.237975967503,35332.6903305622,2951.49625913833,40117.1366823087,0.898496874957777,0.0124877580889724,0.574341787807484,0.0376947207422914,2414.27084609077,901.373806903593,15232.7538101014,-0.00669695074932673,196.274738829684
oah1,500.52136192247,3216.30743299324,911.837105429628,9218.23090459733,3043.48304539135,34612.4950594088,1.03550568428233,0.0148416671173866,0.601244833774858,0.0164762413411704,1943.21128002953,3103.07560077219,1502.31583452878,-0.0100807377880163,196.274738829684
oo1,403.769798449031,2516.01246517436,834.097608402753,37627.5650069009,2876.19092731916,45280.0083755587,0.820236034464117,0.0124553311928379,0.709289664129545,0.0477045283410536,2235.79675009716,2107.48465793305,15907.1432345395,-0.00828707828569622,196.274738829684
oh1,436.331767560494,3144.5531327313,846.174921963851,14221.824684831,2949.83861979334,34219.5034474881,0.896980953274059,0.0179429337399201,0.660745890251264,0.0263657924873873,1897.6284140049,1753.5043048773,2641.01390190975,-0.0115390905741653,196.274738829684
