Vowel,F1_gm_mean_mean,F1_gm_var_mean,F1F2_cov_mean,F1F3_cov_mean,F2_gm_mean_mean,F2_gm_var_mean,F2F3_cov_mean,F3_gm_mean_mean,F3_gm_var_mean,synthtalkerF0_gm_mean
ih1,377.937974737087,524.772849676538,-438.293220889394,16.3759665955342,2558.62157235967,33537.9557072093,15023.9806027874,3097.95604961654,19469.4233463521,196.274738829684
yh1,383.31548176266,495.462967059544,-476.40434066272,-603.533559670816,2382.56483305538,7309.80486947878,4369.92592673582,2799.88342185564,10778.5507712103,196.274738829684
uh1,418.463942934943,694.31764981972,303.264263216814,-528.096939119976,1301.10895426611,4687.03143474851,1509.60635273887,2790.69591167813,12482.0033249802,196.274738829684
eh1,624.364347045002,1526.79361327341,-468.322046365316,-710.21467694304,1978.97654627886,18254.1004655433,17892.081059572,2770.50216793724,42755.4363840553,196.274738829684
{,808.140767630523,3191.40234862176,7.54953968692298,426.277849715331,1768.45185217076,6505.29995679985,6063.1520220734,2791.33837558664,43599.0901250398,196.274738829684
oeh1,570.207472937769,955.496860369435,107.293790991997,21.5287765804697,1667.86929807423,3477.58183931281,790.88479792081,2703.08516764081,8345.26712532411,196.274738829684
9,540.239361515919,1203.7028008686,227.692154090324,352.260226786657,1387.67916742591,3590.96101055491,482.32548766667,2790.1945131115,10230.315447747,196.274738829684
ah1,807.18804318218,3876.28817559757,908.598012815398,3070.86831380358,1368.67126447322,2402.70735779167,1314.7544565741,2845.26452226084,41858.8911182789,196.274738829684
oah1,499.665985731149,998.556258956104,520.701884001769,538.559124730424,910.136216183687,2179.11345820604,930.801436379742,3048.57467096646,8862.1211490212,196.274738829684
oh1,438.253921366986,1162.58583687976,636.144816061367,236.20278522357,851.750553129639,7977.03918214985,2856.12751025998,2943.5396299447,14241.1442153477,196.274738829684
