Vowel,height_gm_mean_mean,height_gm_var_mean,heightbackness_cov_mean,backness_gm_mean_mean,backness_gm_var_mean,F3_gm_mean_mean,F3_gm_var_mean,F1F3_cov_mean,F2F3_cov_mean,synthtalkerF0_gm_mean
ii1,0.72226526391826,0.00355020924306798,-0.00382832011102774,1.76066638261367,0.00716258933078044,3193.31384324285,54676.4635584859,96.03720418857,11981.4406311829,196.274738829684
ih1,0.753169344206726,0.00366677458830309,-0.00425415210530758,1.910576329388,0.0118042552423758,3097.95604961654,19469.4233463521,16.3759665955342,15023.9806027874,196.274738829684
yy1,0.688437291736914,0.0032181013981574,-0.00303003935115858,1.75446498588617,0.00421465751258763,3275.50939046198,10224.1740004576,-25.70811959754,1804.86519044913,196.274738829684
yh1,0.767856645373401,0.00350367799794433,-0.00406544457913031,1.83021030389961,0.00600831661983653,2799.88342185564,10778.5507712103,-603.533559670816,4369.92592673582,196.274738829684
uu1,0.775045966225277,0.0031256209799615,-0.0029813472359874,1.54203584393318,0.0039214361090697,2647.4851660704,10208.0425763376,-218.883164584331,2455.66048514998,196.274738829684
uh1,0.855512337563375,0.00446724176058263,-0.00401707284143955,1.13561371222162,0.00611364428230264,2790.69591167813,12482.0033249802,-528.096939119976,1509.60635273887,196.274738829684
ee1,0.842373820325815,0.00355607692822136,-0.00544221273802129,1.79350656708374,0.0128609282802705,3088.45462114678,17788.4522153438,-1358.06823236405,12963.9532491339,196.274738829684
eh1,1.25283180730386,0.00402646007193688,-0.00434128165404542,1.15748533020848,0.0101263878381004,2770.50216793724,42755.4363840553,-710.21467694304,17892.081059572,196.274738829684
ae1,1.48969220371272,0.00771391227622191,-0.00739265727005684,0.827214055763351,0.00860011520121438,2764.21569297331,36698.2346681059,1198.45218828199,3650.32427837547,196.274738829684
{:,1.57863723287792,0.00946179283353093,-0.00928027645525474,0.651171198519663,0.0113468512351562,2740.7081252633,30129.5852362422,1830.52260647546,2927.63141866743,196.274738829684
{,1.51118622034143,0.00642001304865326,-0.00633320155462914,0.787562449261062,0.00832386209181611,2791.33837558664,43599.0901250398,426.277849715331,6063.1520220734,196.274738829684
oe1,1.26969006462744,0.0041225050215682,-0.00371340415062711,0.888061541304438,0.00440527367998934,2681.24072060215,11728.9603451688,396.095109121109,-150.639457265215,196.274738829684
oeh1,1.16293826579276,0.00343358473834309,-0.00330448293322973,1.0781682850464,0.00443485069014286,2703.08516764081,8345.26712532411,21.5287765804697,790.88479792081,196.274738829684
9:,1.23782809527214,0.00261518718441434,-0.00264634624628022,0.739017582092103,0.00368225289160534,2749.33763185006,13794.1567360421,-208.411615623111,-95.6483983182549,196.274738829684
9,1.11038376903663,0.00405313021721289,-0.00370327928803714,0.943476750949861,0.00517497430829152,2790.1945131115,10230.315447747,352.260226786657,482.32548766667,196.274738829684
aa1,1.28882309153845,0.00645757778761206,-0.00416188547020247,0.469411051779518,0.00520367681709757,2883.95745460958,13286.1605918546,528.783930750299,254.081364489501,196.274738829684
ah1,1.50853089590714,0.00733230968557206,-0.00639420319872996,0.534454572240444,0.00672320454332946,2845.26452226084,41858.8911182789,3070.86831380358,1314.7544565741,196.274738829684
oa1,0.89260433286167,0.0038496738133219,-0.00132621647735335,0.570289702757621,0.024953108652896,2951.46497021914,15085.7867581228,619.25944492156,9366.48905566563,196.274738829684
oah1,1.03166264047709,0.00379588233965068,-0.00294770296673395,0.601070927037057,0.00455550809735236,3048.57467096646,8862.1211490212,538.559124730424,930.801436379742,196.274738829684
oo1,0.813516123941769,0.00642228953235014,-0.00405784319718758,0.714316719785174,0.0351137808932765,2866.91656045003,22715.5099891053,1068.64771630364,10609.4993978271,196.274738829684
oh1,0.899456387557665,0.00585172286123424,-0.00433851080037766,0.662792172200456,0.0134579292313136,2943.5396299447,14241.1442153477,236.20278522357,2856.12751025998,196.274738829684
